Currently Available Inventory for The Happy Cannabis,,,,,,,,,,,,,
03-09-2026 12:45 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Product,Product-Line,Sub-Product-Line,Category,Sub-Category,Price,Available For Sale,THC,THCA,CBD,CBDA,Total,Order,SKU
Trade Sample - 100% Flower Pre-Rolls - Killer Green Bud - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231X1V3224
Trade Sample - 100% Flower Pre-Rolls - King Louie - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231A1R3248
Trade Sample - 100% Flower Pre-Rolls - Magic Pop Rocks - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,1.27,21.32,0.00,0.05,24.00,,C3231F1Z3537
Trade Sample - 100% Flower Pre-Rolls - Mambas - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.47,23.02,0.00,0.06,25.00,,C3231X1V3391
Trade Sample - 100% Flower Pre-Rolls - Wake 'N' Bake Cookies - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231S1A3250
Trade Sample - 100% Flower Pre-Rolls - Wedding Cake - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.31,24.79,0.00,0.05,27.00,,C32316143252
Trade Sample - Kief Infused - Block Berry - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231E144016
Trade Sample - Kief Infused - Fire Berry - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.73,29.06,0.00,0.08,32.00,,C3231S1S3495
Trade Sample - Kief Infused - Gelato Cake - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231Q1M3496
Trade Sample - Kief Infused - Magic Gum Drops - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.94,29.67,0.00,0.08,32.00,,C3231Q153497
Trade Sample - Shatter Infused Death By Candy - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,1.50,44.82,0.00,0.11,49.00,,C323141X3191
Trade Sample - Shatter Infused Fruit of the Gods - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,1.71,47.35,0.00,0.12,52.00,,C3231S1M3190
Trade Sample - Shatter Infused Killer Strawberries From Outer Space - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,1.65,47.05,0.00,0.12,51.00,,C3231S143192
Trade Sample - Shatter Infused Laughing Gas - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,3.79,37.65,0.00,0.08,44.00,,C32319143193
Trade Sample - Shatter Infused Sex On The Beach - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231R1M3196
Trade Sample - Shatter Infused Zig-A-Zig Ah - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231C1Y3200
"Trade Sample Breakfast & Lunch & Dinner - KGB,MM,MPR - 6-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,06 pk / 3g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231D143741
"Trade Sample Breakfast & Lunch & Dinner - KL,MM,WC - 6-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,06 pk / 3g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C323191Y4001
